Reusing configuration cache.
> Task :order-receiver:extractProto UP-TO-DATE
> Task :order-receiver:extractIncludeProto UP-TO-DATE
> Task :order-receiver:processResources UP-TO-DATE
> Task :order-receiver:generateProto UP-TO-DATE
> Task :order-receiver:compileJava
> Task :order-receiver:classes

> Task :order-receiver:run
19:49:17.259 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:49:17.259 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: BUY INTC 556 shares @ ${:.2f}
19:49:17.259 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000046
19:49:17.259 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000046: FILLED
19:49:17.259 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000046 - FILLED
19:49:20.254 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:49:20.254 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: BUY MSFT 896 shares @ ${:.2f}
19:49:20.254 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000048
19:49:20.255 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000048: FILLED
19:49:20.255 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000048 - FILLED
19:49:23.255 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:49:23.255 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL AMZN 974 shares @ ${:.2f}
19:49:23.255 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000050
19:49:23.255 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000050: FILLED
19:49:23.255 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000050 - FILLED
19:49:26.257 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:49:26.258 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL KLAC 768 shares @ ${:.2f}
